year,regime,variant,rule,N,mean_return,median_return,win_rate,p_loss5,p_loss10,p_plus10,p_plus20,p_plus30,avg_holding_days,median_holding_days,early_exit_rate,winner10_retained,winner20_retained,winner30_retained,right_tail_capture,mean_trade_max_drawdown,false_exit_10d,recovery_above_peak_5d,recovery_above_peak_10d
2026,LIMIT_UP,A1_ALL_LOCKED,MA20_2D,4951.0,0.07071876974978217,-0.021892017094017033,0.43991112906483537,0.40658452837810544,0.2035952332862048,0.2855988689153706,0.2039991920824076,0.14744496061401738,14.265400929105231,16.0,0.6679458695213089,0.7919814061592098,0.8261231281198004,0.8646080760095012,0.8533354656453332,-0.07536064764147332,0.4417901421227699,0.15603265799818566,0.24463259752041125
2022,LIMIT_UP,A1_ALL_LOCKED,MA20_2D,3464.0,0.0024842914610999616,-0.03895686351039926,0.3556581986143187,0.450635103926097,0.19717090069284066,0.16252886836027713,0.09151270207852194,0.049364896073903,13.407621247113164,15.0,0.7280600461893765,0.73806275579809,0.7933673469387755,0.8252427184466019,0.8006975596830848,-0.07117848877098625,0.31165741475019826,0.13758921490880255,0.19468675654242665
2023,LIMIT_UP,A2_HIST2_LOCKED,MA20_2D,905.0,0.025244481750788323,-0.039705597535934306,0.39779005524861877,0.46519337016574586,0.29171270718232045,0.25524861878453037,0.16353591160220995,0.10497237569060773,15.624309392265193,17.0,0.6530386740331492,0.849624060150376,0.8841463414634146,0.9313725490196079,0.9045064185374274,-0.08507869922803084,0.3976311336717428,0.10998307952622674,0.18612521150592218
2021,LIMIT_UP,A2_HIST2_LOCKED,MA20_2D,2078.0,0.030522378073178074,-0.03826652066434913,0.40856592877767084,0.4667949951876805,0.2998075072184793,0.23917228103946103,0.15640038498556305,0.1068334937439846,14.126082771896053,15.0,0.7151106833493744,0.732824427480916,0.7637231503579952,0.8148148148148148,0.8135419955693522,-0.0924468563065825,0.45558546433378194,0.13189771197846567,0.1958277254374159
2022,LIMIT_UP,A2_HIST2_LOCKED,MA20_2D,993.0,-0.002740078577430744,-0.051931757961783426,0.32225579053373615,0.5065458207452165,0.29607250755287007,0.1782477341389728,0.11581067472306143,0.07049345417925479,13.705941591137966,14.0,0.7512588116817724,0.7402597402597403,0.8201438848920863,0.8214285714285714,0.8132485632001163,-0.09083663382416737,0.39946380697050937,0.13404825737265416,0.19302949061662197
2025,LIMIT_UP,A2_HIST2_LOCKED,MA20_2D,1506.0,0.03885292059158421,-0.018121471400394416,0.44621513944223107,0.3751660026560425,0.2098273572377158,0.26228419654714474,0.16666666666666666,0.10624169986719788,13.95617529880478,16.0,0.6726427622841965,0.7588235294117647,0.8175895765472313,0.8421052631578947,0.8199372632725702,-0.07511003760767415,0.41954590325765057,0.20236920039486672,0.29318854886475815
2026,LIMIT_UP,A2_HIST2_LOCKED,MA20_2D,2054.0,0.09229144521570669,-0.013305930380338536,0.4688412852969815,0.4065238558909445,0.2546251217137293,0.33349561830574487,0.24732229795520935,0.188412852969815,15.0491723466407,17.0,0.6285296981499513,0.806060606060606,0.8327814569536424,0.8752834467120182,0.8699159062412232,-0.08816577636549244,0.5135553834237025,0.16189000774593337,0.25484120836560803
2024,LIMIT_UP,A2_HIST2_LOCKED,MA20_2D,1605.0,0.01793694125853721,-0.05143012435233166,0.35700934579439253,0.5009345794392523,0.30965732087227416,0.23052959501557632,0.14890965732087227,0.10031152647975078,14.447352024922118,15.0,0.7227414330218068,0.827906976744186,0.8939393939393939,0.930635838150289,0.8980071898639038,-0.09068873935292879,0.43275862068965515,0.10431034482758621,0.1724137931034483
2025,LIMIT_UP,A3_NEAR_LIMIT_LOCKED,MA20_2D,783.0,0.05734759833649807,0.035025008849557476,0.7420178799489144,0.10600255427841634,0.03065134099616858,0.17879948914431673,0.05491698595146871,0.033205619412515965,6.210727969348659,2.0,0.879948914431673,0.3207070707070707,0.2792207792207792,0.4126984126984127,0.5036634218568229,-0.04824658501821556,0.3076923076923077,0.7706821480406386,0.8040638606676342
2024,LIMIT_UP,A3_NEAR_LIMIT_LOCKED,MA20_2D,184.0,0.13788321796902675,0.018351357390180425,0.5597826086956522,0.27717391304347827,0.10326086956521739,0.3967391304347826,0.2717391304347826,0.1956521739130435,15.33695652173913,19.0,0.5815217391304348,0.9090909090909091,0.9423076923076923,0.9230769230769231,0.9196477463070653,-0.025063498553687204,0.3364485981308411,0.1308411214953271,0.205607476635514
2022,LIMIT_UP,A3_NEAR_LIMIT_LOCKED,MA20_2D,140.0,0.07138989525189618,0.01076524110671936,0.5285714285714286,0.2642857142857143,0.09285714285714286,0.2785714285714286,0.16428571428571428,0.11428571428571428,14.92142857142857,18.0,0.5785714285714286,0.8260869565217391,0.8461538461538461,0.8421052631578947,0.8776595640056026,-0.031523176117172265,0.37037037037037035,0.16049382716049382,0.20987654320987653
2023,LIMIT_UP,A3_NEAR_LIMIT_LOCKED,MA20_2D,140.0,0.10913671285046819,0.0437141412803532,0.6142857142857143,0.25,0.12857142857142856,0.38571428571428573,0.2785714285714286,0.18571428571428572,16.52857142857143,20.0,0.5142857142857142,0.9298245614035088,0.926829268292683,0.9629629629629629,0.7514239273508673,-0.020453347067863926,0.2916666666666667,0.125,0.18055555555555555
2026,LIMIT_UP,A3_NEAR_LIMIT_LOCKED,MA20_2D,267.0,0.11725382680121882,0.03556074439461873,0.5543071161048689,0.2883895131086142,0.10861423220973783,0.3857677902621723,0.22846441947565543,0.15730337078651685,15.513108614232209,19.0,0.5880149812734082,0.875,0.8285714285714286,0.8695652173913043,0.896024677949399,-0.04230878244339402,0.34394904458598724,0.15286624203821655,0.2229299363057325
2021,LIMIT_UP,A3_NEAR_LIMIT_LOCKED,MA20_2D,236.0,0.12378424210341057,0.014640784741615866,0.5423728813559322,0.3135593220338983,0.1652542372881356,0.3177966101694915,0.2457627118644068,0.15677966101694915,14.822033898305085,18.0,0.6186440677966102,0.8780487804878049,0.9344262295081968,0.8409090909090909,0.8799754732941718,-0.03514907987748192,0.4589041095890411,0.1232876712328767,0.18493150684931506
2021,NORMAL,B_NORMAL_MOMENTUM,MA20_2D,6890.0,0.013754036136898348,-0.027525272727272596,0.3599419448476052,0.36894049346879537,0.1548621190130624,0.17866473149492018,0.09579100145137881,0.054862119013062406,14.500725689404934,16.0,0.6507982583454281,0.8509142053445851,0.8725099601593626,0.9152542372881356,0.8815584657405503,-0.07057544708963996,0.2834522747546833,0.14183764495985726,0.23461195361284568
2022,NORMAL,B_NORMAL_MOMENTUM,MA20_2D,4943.0,-0.011042230216188127,-0.03417220178799488,0.31944163463483716,0.39490188144851307,0.13412907141412098,0.11369613594982804,0.04329354642929395,0.022455998381549665,13.614404207970868,14.0,0.7191988670847663,0.7939914163090128,0.8385826771653543,0.8409090909090909,0.8208295594707307,-0.06502619633802965,0.2219409282700422,0.12236286919831224,0.19521800281293952
2023,NORMAL,B_NORMAL_MOMENTUM,MA20_2D,5484.0,0.014133979651630579,-0.024202028722803446,0.3838439095550693,0.3287746170678337,0.0939095550692925,0.1639314369073669,0.07804522246535375,0.04175784099197666,14.949124726477024,17.0,0.649343544857768,0.8418560606060606,0.8804123711340206,0.8875968992248062,0.8555898494259202,-0.05611538480110601,0.2381353552372929,0.13479359730412804,0.2204436955911261
2025,NORMAL,B_NORMAL_MOMENTUM,MA20_2D,6120.0,0.009741773582659988,-0.02375270420094364,0.35784313725490197,0.32712418300653595,0.11013071895424836,0.1511437908496732,0.07810457516339869,0.043954248366013075,14.268954248366013,15.0,0.7269607843137255,0.8239564428312159,0.8754578754578755,0.9275862068965517,0.880216291229983,-0.057296950913609986,0.21555405709148123,0.11980220274218925,0.19712294897729826
2026,NORMAL,B_NORMAL_MOMENTUM,MA20_2D,3580.0,0.026627481631173715,-0.04162695488292403,0.34972067039106147,0.45754189944134077,0.20698324022346368,0.211731843575419,0.13910614525139664,0.09804469273743016,13.874022346368715,14.0,0.7075418994413408,0.755533199195171,0.7952,0.8519417475728155,0.8200180731888426,-0.08413475536140894,0.3845242795104619,0.1590998815633636,0.25898144492696407
